Month,County,Year ,Unemployment_Rate,State
June,Clovis city,2020,12.1,CA
June,Clyde CDP,2020,10.2,CA
June,Coachella city,2020,20.5,CA
June,Coalinga city,2020,15.3,CA
June,Cobb CDP,2020,9.8,CA
June,Colfax city,2020,16.5,CA
June,Colton city,2020,14.1,CA
June,Columbia CDP,2020,29.3,CA
June,Colusa city,2020,15.4,CA
June,Commerce city,2020,22.8,CA
June,Compton city,2020,22.2,CA
June,Concord city,2020,13.4,CA
June,Concow CDP,2020,24.1,CA
June,Copperopolis CDP,2020,11.7,CA
June,Corcoran city,2020,23.6,CA
June,Corning city,2020,13.6,CA
June,Corona city,2020,12.7,CA
June,Coronado city,2020,10.5,CA
June,Corralitos CDP,2020,11.8,CA
June,Corte Madera town,2020,12.8,CA
June,Costa Mesa city,2020,12.4,CA
June,Cotati city,2020,12.3,CA
June,Coto de Caza CDP,2020,13,CA
June,Cottonwood CDP,2020,11,CA
June,Country Club CDP,2020,24.9,CA
June,Covelo CDP,2020,14.9,CA
June,Covina city,2020,19.7,CA
June,Crescent City city,2020,10.4,CA
June,Crescent Mills CDP,2020,0,CA
June,Crestline CDP,2020,8.9,CA
June,C Road CDP,2020,19,CA
June,Crockett CDP,2020,18.6,CA
June,Cromberg CDP,2020,0,CA
June,Cudahy city,2020,18.5,CA
June,Culver City city,2020,17.3,CA
June,Cupertino city,2020,7.3,CA
June,Cutler CDP,2020,18.1,CA
June,Cypress city,2020,14.7,CA
June,Daly City city,2020,16.1,CA
June,Dana Point city,2020,12,CA
June,Danville town,2020,10,CA
June,Darwin CDP,2020,0,CA
June,Davis city,2020,8.1,CA
June,Day Valley CDP,2020,12.5,CA
June,Deer Park CDP,2020,19.8,CA
June,Del Aire CDP,2020,16.3,CA
June,Delano city,2020,31.6,CA
June,Delhi CDP,2020,14.8,CA
June,Delleker CDP,2020,0,CA
June,Del Mar city,2020,10.3,CA
June,Del Monte Forest CDP,2020,16.4,CA
June,Del Rey CDP,2020,18.1,CA
June,Del Rey Oaks city,2020,15.6,CA
June,Denair CDP,2020,13.9,CA
June,Derby Acres CDP,2020,2.9,CA
June,Desert Hot Springs city,2020,22.6,CA
June,Desert View Highlands CDP,2020,28.5,CA
June,Diablo CDP,2020,0,CA
June,Diamond Bar city,2020,17.4,CA
June,Diamond Springs CDP,2020,16.2,CA
June,Dinuba city,2020,22.5,CA
June,Discovery Bay CDP,2020,12.5,CA
June,Dixon city,2020,13.6,CA
June,Dixon Lane Meadow Creek CDP,2020,12.2,CA
June,Dollar Point CDP,2020,7.6,CA
June,Dorrington CDP,2020,13.5,CA
June,Dos Palos city,2020,12,CA
June,Downey city,2020,19.4,CA
June,Duarte city,2020,22.9,CA
June,Dublin city,2020,10.9,CA
June,Ducor CDP,2020,15.8,CA
June,Dunsmuir city,2020,7.8,CA
June,Durham CDP,2020,5.9,CA
June,Dustin Acres CDP,2020,8.2,CA
June,Earlimart CDP,2020,25,CA
June,East Foothills CDP,2020,6.7,CA
June,East Hemet CDP,2020,21.7,CA
June,East Los Angeles CDP,2020,29.3,CA
June,East Oakdale CDP,2020,12.8,CA
June,Easton CDP,2020,15.3,CA
June,East Orosi CDP,2020,44.4,CA
June,East Palo Alto city,2020,12.2,CA
June,East Pasadena CDP,2020,8.9,CA
June,East Porterville CDP,2020,35.8,CA
June,East Quincy CDP,2020,2,CA
June,East Richmond Heights CDP,2020,6.5,CA
June,East San Gabriel CDP,2020,8.3,CA
June,East Shore CDP,2020,80.4,CA
June,East Sonora CDP,2020,0,CA
June,Eastvale City city,2020,13.5,CA
June,Edwards AFB CDP,2020,19.5,CA
June,El Cajon city,2020,17.8,CA
June,El Centro city,2020,24.5,CA
June,El Cerrito city,2020,13,CA
June,El Cerrito CDP,2020,9.4,CA
June,El Dorado Hills CDP,2020,10.4,CA
June,El Granada CDP,2020,10.1,CA
June,Elk Grove CDP,2020,12.7,CA
June,Elkhorn CDP,2020,21,CA
June,Elmira CDP,2020,11.7,CA
June,El Monte city,2020,21.7,CA
June,El Paso de Robles (Paso Robles) city,2020,11.5,CA
June,El Rio CDP,2020,20.8,CA
June,El Segundo city,2020,22.4,CA
June,El Sobrante CDP,2020,16.1,CA
June,El Verano CDP,2020,5.4,CA
June,Emeryville city,2020,9.8,CA
June,Empire CDP,2020,10.4,CA
June,Encinitas city,2020,11,CA
June,Escalon city,2020,8.8,CA
June,Escondido city,2020,13.1,CA
June,Esparto CDP,2020,10.1,CA
June,Eureka city,2020,11.8,CA
June,Exeter city,2020,16.9,CA
June,Fairfax town,2020,9.2,CA
June,Fairfield city,2020,13.4,CA
June,Fair Oaks CDP,2020,9.4,CA
June,Fairview CDP,2020,6.8,CA
June,Fallbrook CDP,2020,13,CA
June,Fall River Mills CDP,2020,0,CA
June,Farmersville city,2020,20.3,CA
June,Farmington CDP,2020,0,CA
June,Fellows CDP,2020,17.6,CA
June,Felton CDP,2020,17.5,CA
June,Ferndale city,2020,4.7,CA
June,Fetters Hot Springs Agua Caliente CDP,2020,5.4,CA
June,Fillmore city,2020,11,CA
June,Firebaugh city,2020,23.1,CA
June,Florence Graham CDP,2020,25,CA
June,Florin CDP,2020,21.7,CA
June,Folsom city,2020,9.6,CA
June,Fontana city,2020,13.9,CA
June,Foothill Farms CDP,2020,14.2,CA
June,Ford City CDP,2020,19.3,CA
June,Foresthill CDP,2020,10,CA
June,Forest Meadows CDP,2020,19,CA
June,Forestville CDP,2020,13.3,CA
June,Fort Bragg city,2020,12.1,CA
June,Fortuna city,2020,10.2,CA
June,Foster City city,2020,7.6,CA
June,Fountain Valley city,2020,14.8,CA
June,Fowler city,2020,11.1,CA
June,Frazier Park CDP,2020,18.7,CA
June,Freedom CDP,2020,18.9,CA
June,Fremont city,2020,10.5,CA
June,French Camp CDP,2020,16.9,CA
June,Fresno city,2020,14.5,CA
June,Friant CDP,2020,23.6,CA
June,Fullerton city,2020,15,CA
June,Furnace Creek CDP,2020,1.9,CA
June,Galt city,2020,12.1,CA
June,Gardena city,2020,21.4,CA
June,Garden Acres CDP,2020,20.9,CA
June,Garden Grove city,2020,18.7,CA
June,Georgetown CDP,2020,25.6,CA
June,Gilroy city,2020,12.6,CA
June,Glendale city,2020,21.1,CA
June,Glendora city,2020,16.2,CA
June,Glen Ellen CDP,2020,0,CA
June,Golden Hills CDP,2020,8.8,CA
June,Gold River CDP,2020,14.8,CA
June,Goleta City,2020,10.2,CA
June,Gonzales city,2020,3,CA
June,Goshen CDP,2020,17.4,CA
June,Graeagle CDP,2020,12.3,CA
